"links","datetime","rssid","rsstopic","date","downloaded"
"https://www.zeit.de/politik/deutschland/2021-10/ampel-sondierungen-spd-gruene-fdp-koalition","2021-10-12 15:52:02","zeit_rss_2021-10-12_15_52_02","ZEIT_Politik","2021-10-12",1
"https://www.zeit.de/politik/deutschland/2021-10/kreis-ahrweiler-landrat-juergen-pfoehler-flutkatastrophe-amtsniederlegung","2021-10-08 22:22:02","zeit_rss_2021-10-08_22_22_02","ZEIT_Politik","2021-10-08",1
"https://www.zeit.de/2021/38/agrarpolitik-die-gruenen-landwirtschaft-bio-bauern-landespolitik","2021-09-21 15:52:02","zeit_rss_2021-09-21_15_52_02","ZEIT_Politik","2021-09-21",1
"https://www.sueddeutsche.de/politik/bundestagswahl-2021-cdu-csu-merz-1.5429490","2021-10-10 08:08:02","sz_rss_2021-10-10_08_08_02","Sueddeutsche_Standard","2021-10-10",1
"https://www.sueddeutsche.de/politik/schule-digitaliserung-internet-1.5440476","2021-10-15 14:08:02","sz_rss_2021-10-15_14_08_02","Sueddeutsche_Standard","2021-10-15",1
"https://www.sueddeutsche.de/politik/news-corona-bundestag-linde-notlage-1.5448992","2021-10-26 08:08:02","sz_rss_2021-10-26_08_08_02","Sueddeutsche_Standard","2021-10-26",1
"https://www.zeit.de/politik/deutschland/2021-10/ampel-koalition-spd-gruene-fdp-sondierungen-fortsetzung","2021-10-07 22:22:02","zeit_rss_2021-10-07_22_22_02","ZEIT_Politik","2021-10-07",1
"https://www.sueddeutsche.de/politik/bundestagswahl-2021-ampel-koalitionsverhandlungen-1.5435927","2021-10-15 14:08:02","sz_rss_2021-10-15_14_08_02","Sueddeutsche_Standard","2021-10-15",1
"https://www.zeit.de/politik/2021-10/oesterreich-oevp-parteizentrale-kanzleramt-polizei-durchsuchung-razzia-korruptionsverdacht-sebastian-kurz","2021-10-06 15:52:02","zeit_rss_2021-10-06_15_52_02","ZEIT_Politik","2021-10-06",1
"https://www.sueddeutsche.de/politik/italien-sea-watch-darf-landen-1.5446866","2021-10-22 20:08:02","sz_rss_2021-10-22_20_08_02","Sueddeutsche_Standard","2021-10-22",1
"https://www.zeit.de/politik/2021-10/ampel-koalition-koalitionsverhandlungen-einigung-nachrichtenpodcast","2021-10-15 22:22:02","zeit_rss_2021-10-15_22_22_02","ZEIT_Politik","2021-10-15",1
"https://www.sueddeutsche.de/politik/covid-impfstoffe-hochwirksam-bei-kindern-1.5446979","2021-10-22 20:08:02","sz_rss_2021-10-22_20_08_02","Sueddeutsche_Standard","2021-10-22",1
"https://www.sueddeutsche.de/politik/polen-belarus-erneut-toter-migrant-im-grenzgebiet-1.5440501","2021-10-15 20:08:02","sz_rss_2021-10-15_20_08_02","Sueddeutsche_Standard","2021-10-15",1
"https://www.zeit.de/politik/ausland/2021-10/cop26-israel-weltklimkonferenz-klimawandel-massnahmen","2021-10-25 09:19:02","zeit_rss_2021-10-25_09_19_02","ZEIT_Politik","2021-10-25",1
"https://www.zeit.de/politik/deutschland/2021-10/zerstoerte-wahlplakate-parteien-innenministerium-bundestagswahl","2021-10-14 09:19:02","zeit_rss_2021-10-14_09_19_02","ZEIT_Politik","2021-10-14",1
"https://www.zeit.de/politik/ausland/2021-10/brasilien-jair-bolsonaro-istgh-anzeige-allrise-amazonas-abholzung-klimaschutz","2021-10-14 09:19:02","zeit_rss_2021-10-14_09_19_02","ZEIT_Politik","2021-10-14",1
"https://www.sueddeutsche.de/politik/eu-gipfel-angela-merkel-bruessel-polen-gaspreise-1.5445945","2021-10-21 20:08:02","sz_rss_2021-10-21_20_08_02","Sueddeutsche_Standard","2021-10-21",1
"https://www.sueddeutsche.de/politik/glosse-das-streiflicht-1.5448546","2021-10-25 20:08:02","sz_rss_2021-10-25_20_08_02","Sueddeutsche_Standard","2021-10-25",1
"https://www.zeit.de/zeit-magazin/wochenmarkt/2021-09/black-rifle-coffee-company-usa-gastronomie-politik-donald-trump-anhaenger","2021-09-30 15:52:02","zeit_rss_2021-09-30_15_52_02","ZEIT_Politik","2021-09-30",1
